Role,Present_In,Missing_From,Priority,Script,Size,Lines
70-Dir Organizer,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,comprehensive_organize_70.py,8821,278
AI CLI Ensemble,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,enhanced_ai_cli.py,15439,432
AI Receptionist,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,ai_receptionist.py,28932,863
AI Receptionist,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,ai_receptionist_web.py,13825,363
AI Receptionist,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,ai_receptionist_demo.py,11024,342
Archive Comparator,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,compare_archives.py,7472,188
Art Director Loop,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),MEDIUM,convert-loop2.py,5868,177
CSV Insight Continuer,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,continue_from_csv_analysis.py,8370,227
Cleanup Coordinator,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,cleanup_and_organize.py,5841,209
Clipboard Archaeologist,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,improve_paste_export.py,7891,258
Clipboard Archaeologist,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,improve_paste_export_v2.py,6891,246
Code Quality Auditor,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,advanced_code_analyzer.py,31043,814
Consolidation Surgeon,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,smart_consolidation.py,12061,298
Consolidation Tool,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,avatararts_consolidation_tool.py,9698,242
Content Factory,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),MEDIUM,ai_recipe_generator.py,27767,783
Content Factory,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,content_automation_system.py,21983,628
Content Organizer Agent,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,content_organizer_agent.py,17688,407
Content Organizer Examples,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,content_organizer_examples.py,9355,234
Content-Aware Organizer,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,content-aware-organization-agent.py,9875,266
Cross-Volume Scanner,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,comprehensive_python_search.py,12516,303
DS_Store Eraser,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,cleanup_dsstore_and_empty.py,3168,110
Dedup Detective,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,identify_duplicates.py,13357,356
Dedup Detective,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,remove_exact_dupe_pythons.py,5788,196
Dedup File Engine,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,advanced_file_deduplicator.py,16569,393
Digital Dive Builder,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,build_digital_dive.py,3957,85
Directory Optimizer Agent,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,avatararts_directory_optimizer_agent_fixed.py,14926,315
Directory Optimizer Agent,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,avatararts_directory_optimizer_agent_final.py,14894,318
Directory Optimizer Agent,Creative Studio (~/pythons),Marketplace Repo (diVinePyTHon),HIGH,avatararts_directory_optimizer_agent_v3.py,14718,314
