folder,current_path,proposed_path,subfolder,reason,priority,file_count
MEDIA_PROCESSING/audio,MEDIA_PROCESSING/audio/convert_to_audio.py,MEDIA_PROCESSING/audio/audio/convert_to_audio.py,audio,"5 files with ""audio"" keyword",low,5
MEDIA_PROCESSING/audio,MEDIA_PROCESSING/audio/ORGANIZE_AUDIOBOOK.py,MEDIA_PROCESSING/audio/audio/ORGANIZE_AUDIOBOOK.py,audio,"5 files with ""audio"" keyword",low,5
MEDIA_PROCESSING/audio,MEDIA_PROCESSING/audio/audio_test.py,MEDIA_PROCESSING/audio/audio/audio_test.py,audio,"5 files with ""audio"" keyword",low,5
MEDIA_PROCESSING/audio,MEDIA_PROCESSING/audio/audiometadata.py,MEDIA_PROCESSING/audio/audio/audiometadata.py,audio,"5 files with ""audio"" keyword",low,5
MEDIA_PROCESSING/audio,MEDIA_PROCESSING/audio/audiodownload.py,MEDIA_PROCESSING/audio/audio/audiodownload.py,audio,"5 files with ""audio"" keyword",low,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_image_utils.py,MEDIA_PROCESSING/image/tests/test_image_utils.py,tests,5 test files,high,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/image_test.py,MEDIA_PROCESSING/image/tests/image_test.py,tests,5 test files,high,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_init.py,MEDIA_PROCESSING/image/tests/test_gallery_init.py,tests,5 test files,high,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_logic.py,MEDIA_PROCESSING/image/tests/test_gallery_logic.py,tests,5 test files,high,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_upload.py,MEDIA_PROCESSING/image/tests/test_gallery_upload.py,tests,5 test files,high,5
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/download_your_photos.py,MEDIA_PROCESSING/image/download/download_your_photos.py,download,"3 files with ""download"" prefix",low,3
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/download_photos_by_user.py,MEDIA_PROCESSING/image/download/download_photos_by_user.py,download,"3 files with ""download"" prefix",low,3
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/download_photos_by_hashtag.py,MEDIA_PROCESSING/image/download/download_photos_by_hashtag.py,download,"3 files with ""download"" prefix",low,3
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_image_utils.py,MEDIA_PROCESSING/image/test/test_image_utils.py,test,"4 files with ""test"" prefix",low,4
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_init.py,MEDIA_PROCESSING/image/test/test_gallery_init.py,test,"4 files with ""test"" prefix",low,4
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_logic.py,MEDIA_PROCESSING/image/test/test_gallery_logic.py,test,"4 files with ""test"" prefix",low,4
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_gallery_upload.py,MEDIA_PROCESSING/image/test/test_gallery_upload.py,test,"4 files with ""test"" prefix",low,4
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/ImageCreator.py,MEDIA_PROCESSING/image/image/ImageCreator.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/image_utils.py,MEDIA_PROCESSING/image/image/image_utils.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/scan_images.py,MEDIA_PROCESSING/image/image/scan_images.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/Telegraph Image Downloader [RUS].py,MEDIA_PROCESSING/image/image/Telegraph Image Downloader [RUS].py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/test_image_utils.py,MEDIA_PROCESSING/image/image/test_image_utils.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/imagenarator.py,MEDIA_PROCESSING/image/image/imagenarator.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/scan_images--.py,MEDIA_PROCESSING/image/image/scan_images--.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/image_test.py,MEDIA_PROCESSING/image/image/image_test.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/__init___2T-Xx-python_image_upscaling.py,MEDIA_PROCESSING/image/image/__init___2T-Xx-python_image_upscaling.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/image,MEDIA_PROCESSING/image/auto-image-gallery.py,MEDIA_PROCESSING/image/image/auto-image-gallery.py,image,"10 files with ""image"" keyword",low,10
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/youtube.py,MEDIA_PROCESSING/video/youtube/youtube.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/youtube_analytics.py,MEDIA_PROCESSING/video/youtube/youtube_analytics.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/YouTube_VIEWBOT.py,MEDIA_PROCESSING/video/youtube/YouTube_VIEWBOT.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/youtube 4.py,MEDIA_PROCESSING/video/youtube/youtube 4.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/YouTubeBot.py,MEDIA_PROCESSING/video/youtube/YouTubeBot.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/youtube2.py,MEDIA_PROCESSING/video/youtube/youtube2.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/YouTubeBot 3.py,MEDIA_PROCESSING/video/youtube/YouTubeBot 3.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/scrape-youtube-channel-videos-url.py,MEDIA_PROCESSING/video/youtube/scrape-youtube-channel-videos-url.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/YouTubeBot 2.py,MEDIA_PROCESSING/video/youtube/YouTubeBot 2.py,youtube,"9 files with ""youtube"" keyword",low,9
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/cache_media_video.py,MEDIA_PROCESSING/video/video/cache_media_video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/convert_to_video.py,MEDIA_PROCESSING/video/video/convert_to_video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/DownloadVideos.py,MEDIA_PROCESSING/video/video/DownloadVideos.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/create_video.py,MEDIA_PROCESSING/video/video/create_video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/bot_video.py,MEDIA_PROCESSING/video/video/bot_video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/upload_video.py,MEDIA_PROCESSING/video/video/upload_video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/download_user_videos.py,MEDIA_PROCESSING/video/video/download_user_videos.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/video-downloader.py,MEDIA_PROCESSING/video/video/video-downloader.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/scrape-youtube-channel-videos-url.py,MEDIA_PROCESSING/video/video/scrape-youtube-channel-videos-url.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/video.py,MEDIA_PROCESSING/video/video/video.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/video,MEDIA_PROCESSING/video/videos.py,MEDIA_PROCESSING/video/video/videos.py,video,"11 files with ""video"" keyword",low,11
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/test_bot_get.py,MEDIA_PROCESSING/social_media/tests/test_bot_get.py,tests,5 test files,high,5
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/test_bot_follow.py,MEDIA_PROCESSING/social_media/tests/test_bot_follow.py,tests,5 test files,high,5
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/test_bot_support.py,MEDIA_PROCESSING/social_media/tests/test_bot_support.py,tests,5 test files,high,5
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/test_bot_like.py,MEDIA_PROCESSING/social_media/tests/test_bot_like.py,tests,5 test files,high,5
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/test_bot_unlike.py,MEDIA_PROCESSING/social_media/tests/test_bot_unlike.py,tests,5 test files,high,5
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_comment.py,MEDIA_PROCESSING/social_media/bot/bot_comment.py,bot,"9 files with ""bot"" prefix",low,9
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_filter.py,MEDIA_PROCESSING/social_media/bot/bot_filter.py,bot,"9 files with ""bot"" prefix",low,9
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_get.py,MEDIA_PROCESSING/social_media/bot/bot_get.py,bot,"9 files with ""bot"" prefix",low,9
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_direct.py,MEDIA_PROCESSING/social_media/bot/bot_direct.py,bot,"9 files with ""bot"" prefix",low,9
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_unlike.py,MEDIA_PROCESSING/social_media/bot/bot_unlike.py,bot,"9 files with ""bot"" prefix",low,9
MEDIA_PROCESSING/social_media,MEDIA_PROCESSING/social_media/bot_story.py,MEDIA_PROCESSING/social_media/bot/bot_story.py,bot,"9 files with ""bot"" prefix",low,9
