hash,type,source,dest,action
9e6afc3fdf484a23dffd5faa439834fc,audio,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803/Resources/empty_audio2s.mp3,/Users/steven/Music/empty_audio2s.mp3,move
9e6afc3fdf484a23dffd5faa439834fc,audio,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803 (1)/Resources/empty_audio2s.mp3,/Users/steven/Music/empty_audio2s.mp3,move
9e6afc3fdf484a23dffd5faa439834fc,audio,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/0803 (2)/Resources/empty_audio2s.mp3,/Users/steven/Music/empty_audio2s.mp3,move
9e6afc3fdf484a23dffd5faa439834fc,audio,/Users/steven/Movies/CapCut/User Data/Projects/com.lveditor.draft/1008 (1)/Resources/empty_audio2s.mp3,/Users/steven/Music/empty_audio2s.mp3,move
0f4ef9f7b9ad906cd46014a8cff91558,video,/Users/steven/Movies/mp4/Cyborg_turns_head_slowly_eyes_following_unseen_target._Camera_pans_right_then_zooms_slight.mp4,/Users/steven/Movies/Ai-Art-Mp4/Cyborg_turns_head_slowly_eyes_following_unseen_target._Camera_pans_right_then_zooms_slight.mp4,move
2c9f33fe6adcc02484602e8545db9323,audio,/Users/steven/Movies/stray/strayFall.mp3,/Users/steven/Music/strayFall.mp3,move
38dc567ef7dc3055e2537c1a71ebf448,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/Miss_Information_Parody_Artistry.mp3,/Users/steven/Music/Miss_Information_Parody_Artistry.mp3,move
3dfa44fb4fc2486b695785676eb1b94f,audio,/Users/steven/Movies/stories-to-be-told/The Last Train Part 1-HOOK.mp3,/Users/steven/Music/The Last Train Part 1-HOOK.mp3,move
3f8e6dd0673e0d561f1275a01297e1d5,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/Miss_Information_Parody_Artistic_Alien.mp3,/Users/steven/Music/Miss_Information_Parody_Artistic_Alien.mp3,move
4823e2e68264d6b2ae8d464b0dc4e825,video,/Users/steven/Movies/mp4/Achaoticpressconferenceunfolds.mp4,/Users/steven/Movies/Ai-Art-Mp4/Achaoticpressconferenceunfolds.mp4,move
54b599ea304ef75737c69f3fffeade94,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/PalsGuild_Artistry.mp3,/Users/steven/Music/PalsGuild_Artistry.mp3,move
71936b6230d91e3d0a5e2af5293eb6d6,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/cookie_monster_mania.mp3,/Users/steven/Music/cookie_monster_mania.mp3,move
822a486008551fd42876fa968c1e8ab6,audio,/Users/steven/Movies/TaskAde/Introducing Your AI Sales Agent — Taskade x HubSpot to Help You Close More Deals.mp3,/Users/steven/Music/Introducing Your AI Sales Agent — Taskade x HubSpot to Help You Close More Deals.mp3,move
8e4f758e53690bd7750fca078c3b354b,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/Cosmic_Tooth_Illumination.mp3,/Users/steven/Music/Cosmic_Tooth_Illumination.mp3,move
919239b737c52f51db4ae5891f8976d6,audio,/Users/steven/Movies/stray/strayRUN.mp3,/Users/steven/Music/strayRUN.mp3,move
a1b1ddb5b639c112c90a450be58ff29f,audio,"/Users/steven/Movies/TaskAde/Taskade’s Latest AI Agent Updates – AI Teams, Source References, Automation Filters, Mobile Updates!.mp3","/Users/steven/Music/Taskade’s Latest AI Agent Updates – AI Teams, Source References, Automation Filters, Mobile Updates!.mp3",move
aa9b8a8df6aa6a4902485825c43e4433,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/pals trickster.mp3,/Users/steven/Music/pals trickster.mp3,move
b42db796a7a1cbda54e9eb1eca005269,audio,/Users/steven/Movies/stray/StrayRoll.mp3,/Users/steven/Music/StrayRoll.mp3,move
b7f7173e9df41f5996518748c6ad1f1b,audio,/Users/steven/Movies/Ai-Art-Mp4/mp3/cookie_craving_creatures.mp3,/Users/steven/Music/cookie_craving_creatures.mp3,move
