Filename,Duration,File Size,Creation Date,Original Path
Royalty of Refuse.mp3,3:47,5.22 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Royalty of Refuse.mp3
Blues in the Alley Haunted Strings Nocturnal Notes.mp3,3:16,4.51 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Blues in the Alley Haunted Strings Nocturnal Notes.mp3
Moonly Alley (3).mp3,0:51,1.18 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Moonly Alley (3).mp3
Dance Like Nobody's Watching.mp3,2:19,3.19 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Dance Like Nobody's Watching.mp3
Junkyard Kings.mp3,4:00,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Junkyard Kings.mp3
Let's Get Trashy.mp3,3:00,4.14 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Let's Get Trashy.mp3
Heartbeats in the Dark.mp3,4:00,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Heartbeats in the Dark.mp3
Howligritty Nights.mp3,2:49,3.88 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Howligritty Nights.mp3
Blues in the Moonlit Nights.mp3,2:51,3.92 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Blues in the Moonlit Nights.mp3
No More Love Songs.mp3,2:32,3.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/No More Love Songs.mp3
The Alley King.mp3,2:39,3.65 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/The Alley King.mp3
"Love is Rubbish, and Rubbish is Love.mp3",2:44,3.76 MB,08-09-24,"/Volumes/Pics/Music/Suno-Music/Love is Rubbish, and Rubbish is Love.mp3"
Heartbeats in the Dark (1).mp3,3:11,4.38 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Heartbeats in the Dark (1).mp3
Howling Cat's Song.mp3,2:36,3.59 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Howling Cat's Song.mp3
Rubbish Love.mp3,3:05,4.26 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Rubbish Love.mp3
Echoes of Yesterday.mp3,3:30,4.81 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Echoes of Yesterday.mp3
Project 2025_ Defy Defeat.mp3,2:40,3.68 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Project 2025_ Defy Defeat.mp3
Kings and Queens of Litter.mp3,4:00,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Kings and Queens of Litter.mp3
Project 2025.mp3,3:09,4.33 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Project 2025.mp3
Moonly Alley Serenade.mp3,2:57,4.06 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Moonly Alley Serenade.mp3
Moonlit Reverie.mp3,3:40,5.04 MB,08-09-24,/Volumes/Pics/Music/Suno-Music/Moonlit Reverie.mp3
resized_The First Hundred Days_ A Conservative Blueprint for ActionTEMP_MPY_wvf_snd.mp3,0:27,436.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_The First Hundred Days_ A Conservative Blueprint for ActionTEMP_MPY_wvf_snd.mp3
2025-first2.mp3,7:31,6.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/2025-first2.mp3
Project 2025 vs Kamala_Waltz_ A Battle f 2024-08-17.mp3,4:57,4.54 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025 vs Kamala_Waltz_ A Battle f 2024-08-17.mp3
resized_7-Challenging Health Policies_ The Conservative Critique of CDC and NIHTEMP_MPY_wvf_snd.mp3,0:53,836.98 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_7-Challenging Health Policies_ The Conservative Critique of CDC and NIHTEMP_MPY_wvf_snd.mp3
resized_6-Reviving the Founders' Vision_ The Role of Congress in Military ActionsTEMP_MPY_wvf_snd.mp3,0:21,329.23 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_6-Reviving the Founders' Vision_ The Role of Congress in Military ActionsTEMP_MPY_wvf_snd.mp3
2023_ The Battle Against Cultural Marxism in America.mp3,0:31,733.10 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/2023_ The Battle Against Cultural Marxism in America.mp3
Project 2025  The Heritage Foundation's Terri(1).mp3,0:52,821.06 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025  The Heritage Foundation's Terri(1).mp3
resized_1-Navigating America's Ideological Divide_ A Mission for the Next AdministrationTEMP_MPY_wvf_snd.mp3,0:33,518.21 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_1-Navigating America's Ideological Divide_ A Mission for the Next AdministrationTEMP_MPY_wvf_snd.mp3
resized_2-Unmasking the Heritage Foundation  The Hidden AgendaTEMP_MPY_wvf_snd.mp3,0:32,510.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_2-Unmasking the Heritage Foundation  The Hidden AgendaTEMP_MPY_wvf_snd.mp3
The Energy Behind Project 2025_ Reversing Progressive Policies.mp3,0:22,355.76 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/The Energy Behind Project 2025_ Reversing Progressive Policies.mp3
Inside Project 2025  A Detailed Blueprint for.mp3,0:47,747.59 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Inside Project 2025  A Detailed Blueprint for.mp3
China  The Ultimate Boogeyman in Project 2025.mp3,0:45,710.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/China  The Ultimate Boogeyman in Project 2025.mp3
resized_Mandate oF HaTe-terrifyingTEMP_MPY_wvf_snd.mp3,5:19,4.88 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_Mandate oF HaTe-terrifyingTEMP_MPY_wvf_snd.mp3
How Reagan's 1980 Mandate Inspired Project 2025.mp3,0:46,727.19 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/How Reagan's 1980 Mandate Inspired Project 2025.mp3
resized_8-The Conservative Promise_ Restructuring for America's FutureTEMP_MPY_wvf_snd.mp3,1:05,1.00 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_8-The Conservative Promise_ Restructuring for America's FutureTEMP_MPY_wvf_snd.mp3
American Disaster_ Project 2025 Unveiled 2024-07-09.mp3,3:11,2.92 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/American Disaster_ Project 2025 Unveiled 2024-07-09.mp3
resized_FakeTEMP_MPY_wvf_snd.mp3,0:14,230.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_FakeTEMP_MPY_wvf_snd.mp3
resized_3- The Hidden Threat How the Heritage Foundation is diving america TEMP_MPY_wvf_snd.mp3,0:49,766.78 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_3- The Hidden Threat How the Heritage Foundation is diving america TEMP_MPY_wvf_snd.mp3
resized_3-Reforming the Bureaucracy_ The Trump Administration's Struggle with Career EmployeesTEMP_MPY_wvf_snd.mp3,0:39,623.51 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_3-Reforming the Bureaucracy_ The Trump Administration's Struggle with Career EmployeesTEMP_MPY_wvf_snd.mp3
Project 2025_ A Practical Guide for a New Conservative President.mp3,0:43,682.29 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025_ A Practical Guide for a New Conservative President.mp3
Unmasking Project 2025_ The Sinister Blu 2024-08-09.mp3,1:08,1.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Unmasking Project 2025_ The Sinister Blu 2024-08-09.mp3
Heritage of Hate_ The White Supremacist  2024-09-07TEMP_MPY_wvf_snd.mp3,11:21,10.40 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Heritage of Hate_ The White Supremacist  2024-09-07TEMP_MPY_wvf_snd.mp3
resized_America's Fragile Dream  The Growing Threat WTEMP_MPY_wvf_snd.mp3,0:31,485.14 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_America's Fragile Dream  The Growing Threat WTEMP_MPY_wvf_snd.mp3
Media Mistrust  Project 2025's War on Traditi.mp3,0:49,776.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Media Mistrust  Project 2025's War on Traditi.mp3
resized_Reclaiming American Values  The Rhetoric of PTEMP_MPY_wvf_snd.mp3,0:48,750.86 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_Reclaiming American Values  The Rhetoric of PTEMP_MPY_wvf_snd.mp3
Project2025-SinisterProject.mp3,0:00,256.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project2025-SinisterProject.mp3
resized_The Reagan Revolution_ How a Book Changed AmericaTEMP_MPY_wvf_snd.mp3,0:29,461.06 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_The Reagan Revolution_ How a Book Changed AmericaTEMP_MPY_wvf_snd.mp3
resized_A Detailed Blueprint for the Next Conservative PresidentTEMP_MPY_wvf_snd.mp3,0:18,288.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_A Detailed Blueprint for the Next Conservative PresidentTEMP_MPY_wvf_snd.mp3
Unveiling Project 2025_ A Conservative Blueprint for Governance.mp3,0:19,308.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Unveiling Project 2025_ A Conservative Blueprint for Governance.mp3
resized_How to Fight Back Against the Heritage FoundationTEMP_MPY_wvf_snd.mp3,0:45,711.27 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_How to Fight Back Against the Heritage FoundationTEMP_MPY_wvf_snd.mp3
Project 2025_ More Than Just a Policy Platform.mp3,0:35,559.43 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025_ More Than Just a Policy Platform.mp3
resized_The Hidden Threat  How the Heritage FoundatioTEMP_MPY_wvf_snd.mp3,0:49,766.78 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/resized_The Hidden Threat  How the Heritage FoundatioTEMP_MPY_wvf_snd.mp3
The Urgency of Project 2025  A Countdown to R.mp3,0:57,896.57 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/The Urgency of Project 2025  A Countdown to R.mp3
Project 2025 The Looming Threat-FiN.mp3,2:47,2.55 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025 The Looming Threat-FiN.mp3
Heritage_of_Hate_The_White_Supremacist_2024-09-07TEMP_MPY_wvf_snd.mp3,11:21,10.40 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Heritage_of_Hate_The_White_Supremacist_2024-09-07TEMP_MPY_wvf_snd.mp3
Project 2025_ Decoding Domestic Terrorism Manifesto.mp3,0:34,544.33 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Project 2025_ Decoding Domestic Terrorism Manifesto.mp3
Dividing America  Project 2025's Attack on th.mp3,0:47,748.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025/Dividing America  Project 2025's Attack on th.mp3
