Filename,File Size,Creation Date,Original Path
Walter Russell - A New Concept Of The Universe.pdf,22.52 MB,10-07-24,/Volumes/Pics
image_data.txt,13.00 B,10-06-24,/Volumes/Pics
img.py,6.95 KB,10-06-24,/Volumes/Pics
sort2.py,2.25 KB,08-17-24,/Volumes/Pics
Terminal installer log.txt,143.63 KB,08-17-24,/Volumes/Pics
songs.csv,1.84 KB,10-07-24,/Volumes/Pics/neon-punk-player
README.md,717.00 B,10-07-24,/Volumes/Pics/neon-punk-player
slider.html,4.67 KB,10-07-24,/Volumes/Pics/neon-punk-player
LICENSE.txt,1.19 KB,10-07-24,/Volumes/Pics/neon-punk-player
index.html,4.83 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
script.js,3.81 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
style.css,3.34 KB,10-07-24,/Volumes/Pics/neon-punk-player/dist
index.html,3.94 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
script.js,3.72 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
style.css,3.34 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
card.js,3.72 KB,10-07-24,/Volumes/Pics/neon-punk-player/src
requirements.txt,628.00 B,10-06-24,/Volumes/Pics/steven
fancyimg.py,2.77 KB,10-06-24,/Volumes/Pics/steven
Halloween Funny Cat.pdf,31.66 MB,10-06-24,/Volumes/Pics/steven/halloween/Halloween Funny Cat
Funny Cat 3.pdf,48.44 MB,10-06-24,/Volumes/Pics/steven/halloween/Funny Cat 3
web-qa.py,13.47 KB,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
requirements.txt,1.30 KB,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
README.md,225.00 B,09-07-24,/Volumes/Pics/steven/Pictures/Xmas/web-crawl-q-and-a-example-main
images_data.json,95.62 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025
gallery.json,546.00 B,09-07-24,/Volumes/Pics/steven/Pictures/2025
index.html,97.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public
photoswipe.css,4.04 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
main.css,1.27 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
default-skin.css,11.38 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/css
photoswipe-ui-default.min.js,9.65 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
photoswipe.min.js,31.16 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
main.js,2.93 KB,09-07-24,/Volumes/Pics/steven/Pictures/2025/public/js
mydesigns-export.CSV,30.35 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn
mask.py,2.41 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
orn-up.py,2.21 KB,09-07-24,/Volumes/Pics/steven/Pictures/orn/Dream
