Filename,File Size,Creation Date,Original Path
img.py,6.95 KB,10-06-24,/Volumes/Pics
City-Og-FIN.zip,539.70 MB,08-17-24,/Volumes/Pics
sort2.py,2.25 KB,08-17-24,/Volumes/Pics
Royalty of Refuse.mp3,5.22 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Blues in the Alley Haunted Strings Nocturnal Notes.mp3,4.51 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Moonly Alley (3).mp3,1.18 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Dance Like Nobody's Watching.mp3,3.19 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Junkyard Kings.mp3,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Let's Get Trashy.mp3,4.14 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Heartbeats in the Dark.mp3,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Howligritty Nights.mp3,3.88 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Blues in the Moonlit Nights.mp3,3.92 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
No More Love Songs.mp3,3.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
The Alley King.mp3,3.65 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
"Love is Rubbish, and Rubbish is Love.mp3",3.76 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Heartbeats in the Dark (1).mp3,4.38 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Howling Cat's Song.mp3,3.59 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Rubbish Love.mp3,4.26 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Echoes of Yesterday.mp3,4.81 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Project 2025_ Defy Defeat.mp3,3.68 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Kings and Queens of Litter.mp3,5.49 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Project 2025.mp3,4.33 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Moonly Alley Serenade.mp3,4.06 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
Moonlit Reverie.mp3,5.04 MB,08-09-24,/Volumes/Pics/Music/Suno-Music
resized_The First Hundred Days_ A Conservative Blueprint for ActionTEMP_MPY_wvf_snd.mp3,436.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
2025-first2.mp3,6.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Project 2025 vs Kamala_Waltz_ A Battle f 2024-08-17.mp3,4.54 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_7-Challenging Health Policies_ The Conservative Critique of CDC and NIHTEMP_MPY_wvf_snd.mp3,836.98 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_6-Reviving the Founders' Vision_ The Role of Congress in Military ActionsTEMP_MPY_wvf_snd.mp3,329.23 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
2023_ The Battle Against Cultural Marxism in America.mp3,733.10 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Project 2025  The Heritage Foundation's Terri(1).mp3,821.06 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_1-Navigating America's Ideological Divide_ A Mission for the Next AdministrationTEMP_MPY_wvf_snd.mp3,518.21 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_2-Unmasking the Heritage Foundation  The Hidden AgendaTEMP_MPY_wvf_snd.mp3,510.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
The Energy Behind Project 2025_ Reversing Progressive Policies.mp3,355.76 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Inside Project 2025  A Detailed Blueprint for.mp3,747.59 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
China  The Ultimate Boogeyman in Project 2025.mp3,710.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_Mandate oF HaTe-terrifyingTEMP_MPY_wvf_snd.mp3,4.88 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
How Reagan's 1980 Mandate Inspired Project 2025.mp3,727.19 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_8-The Conservative Promise_ Restructuring for America's FutureTEMP_MPY_wvf_snd.mp3,1.00 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
American Disaster_ Project 2025 Unveiled 2024-07-09.mp3,2.92 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_FakeTEMP_MPY_wvf_snd.mp3,230.04 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_3- The Hidden Threat How the Heritage Foundation is diving america TEMP_MPY_wvf_snd.mp3,766.78 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_3-Reforming the Bureaucracy_ The Trump Administration's Struggle with Career EmployeesTEMP_MPY_wvf_snd.mp3,623.51 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Project 2025_ A Practical Guide for a New Conservative President.mp3,682.29 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Unmasking Project 2025_ The Sinister Blu 2024-08-09.mp3,1.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Heritage of Hate_ The White Supremacist  2024-09-07TEMP_MPY_wvf_snd.mp3,10.40 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_America's Fragile Dream  The Growing Threat WTEMP_MPY_wvf_snd.mp3,485.14 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Media Mistrust  Project 2025's War on Traditi.mp3,776.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_Reclaiming American Values  The Rhetoric of PTEMP_MPY_wvf_snd.mp3,750.86 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Project2025-SinisterProject.mp3,256.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_The Reagan Revolution_ How a Book Changed AmericaTEMP_MPY_wvf_snd.mp3,461.06 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_A Detailed Blueprint for the Next Conservative PresidentTEMP_MPY_wvf_snd.mp3,288.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
Unveiling Project 2025_ A Conservative Blueprint for Governance.mp3,308.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
resized_How to Fight Back Against the Heritage FoundationTEMP_MPY_wvf_snd.mp3,711.27 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/2025
