Filename,Duration,File Size,Creation Date,Original Path
Recycled Symphony.mp4,3:02,4.22 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Recycled Symphony.mp4
Dumpster Brew.mp4,2:43,6.28 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Dumpster Brew.mp4
JunkYard Destiny.mp4,3:37,5.03 MB,06-18-24,/Volumes/Pics/Music/trashymp4/JunkYard Destiny.mp4
Junkyard Kings.mp4,4:00,5.54 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Junkyard Kings.mp4
Anti-Love Struck.mp4,2:18,2.14 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Anti-Love Struck.mp4
Cannon Blastin.mp4,2:45,3.82 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Cannon Blastin.mp4
Concrete Jungle Rumble.mp4,3:32,4.90 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Concrete Jungle Rumble.mp4
Echoes of Moonlight.mp4,3:15,4.52 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Echoes of Moonlight.mp4
Echoes of the Junkyard.mp4,2:56,4.06 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Echoes of the Junkyard.mp4
in the Alley where Hope Flies.mp4,2:23,3.32 MB,06-18-24,/Volumes/Pics/Music/trashymp4/in the Alley where Hope Flies.mp4
Bite in the Night.mp4,4:00,5.54 MB,06-18-24,/Volumes/Pics/Music/trashymp4/Bite in the Night.mp4
In the Junkyard I find.mp4,2:44,3.79 MB,06-18-24,/Volumes/Pics/Music/trashymp4/In the Junkyard I find.mp4
2-Unmasking the Heritage Foundation  The Hidden Agenda.mp4,0:32,46.64 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/2-Unmasking the Heritage Foundation  The Hidden Agenda.mp4
2025-first2.mp4,7:31,110.83 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/2025-first2.mp4
6-Reviving the Founders' Vision_ The Role of Congress in Military Actions.mp4,0:21,13.26 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/6-Reviving the Founders' Vision_ The Role of Congress in Military Actions.mp4
Vote2024-FLAG-ani.mp4,0:00,1.38 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Vote2024-FLAG-ani.mp4
8-The Conservative Promise_ Restructuring for America's Future.mp4,1:05,50.79 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/8-The Conservative Promise_ Restructuring for America's Future.mp4
Are you Ready.mp4,0:00,4.51 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Are you Ready.mp4
A Detailed Blueprint for the Next Conservative President.mp4,0:18,8.61 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/A Detailed Blueprint for the Next Conservative President.mp4
The Energy Behind Project 2025_ Reversing Progressive Policies.mp4,0:22,6.75 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/The Energy Behind Project 2025_ Reversing Progressive Policies.mp4
Fake.mp4,0:14,28.34 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Fake.mp4
Inside Project 2025  A Detailed Blueprint for.mp4,0:47,41.13 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Inside Project 2025  A Detailed Blueprint for.mp4
Black Modern Loading Youtube Video.mp4,0:06,2.60 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Black Modern Loading Youtube Video.mp4
7-Challenging Health Policies_ The Conservative Critique of CDC and NIH.mp4,0:53,62.90 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/7-Challenging Health Policies_ The Conservative Critique of CDC and NIH.mp4
Mandate oF HaTe-terrifying.mp4,5:19,19.32 MB,10-07-24,/Volumes/Pics/2025/2025-mp4/Mandate oF HaTe-terrifying.mp4
