Filename,Duration,File Size,Creation Date,Original Path
08 The Medicine Box - T. One World [175601821].mp3,5:35,5.13 MB,10-09-24,/Users/steven/Music/08 The Medicine Box - T. One World [175601821].mp3
tyg - Artificial.mp3,1:38,1.63 MB,10-09-24,/Users/steven/Music/tyg - Artificial.mp3
moonbeam - ran the man -306.mp3,3:07,5.58 MB,10-09-24,/Users/steven/Music/moonbeam - ran the man -306.mp3
The Best.m4a,0:27,1.63 MB,10-09-24,/Users/steven/Music/The Best.m4a
The Medicine Box - Medicine Music.mp3,6:03,5.69 MB,10-10-24,/Users/steven/Music/The Medicine Box - Medicine Music.mp3
The Medicine Box - Your Mother - Dub Mix.mp3,4:44,4.47 MB,10-10-24,/Users/steven/Music/The Medicine Box - Your Mother - Dub Mix.mp3
09 The Medicine Box - Tu Dices Que [175601820].mp3,6:10,5.66 MB,10-09-24,/Users/steven/Music/09 The Medicine Box - Tu Dices Que [175601820].mp3
Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3,1:00:00,54.95 MB,10-09-24,/Users/steven/Music/Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3
World Traveler.mp3,2:52,2.65 MB,10-09-24,/Users/steven/Music/World Traveler.mp3
10 The Medicine Box - Golden Words [175601819].mp3,4:58,4.56 MB,10-09-24,/Users/steven/Music/10 The Medicine Box - Golden Words [175601819].mp3
The Medicine Box - Imagine - Traditional Mix.mp3,5:15,4.96 MB,10-10-24,/Users/steven/Music/The Medicine Box - Imagine - Traditional Mix.mp3
Ambient Laraaji.m4a,Unknown,Unknown,10-09-24,/Users/steven/Music/Ambient Laraaji.m4a
Song for the Witcher  by @killeen ｜ Suno (1) [d9782181-a1a3-4260-9a4e-dcf3b63c2694-1].mp3,0:30,1.15 MB,10-10-24,/Users/steven/Music/Song for the Witcher  by @killeen ｜ Suno (1) [d9782181-a1a3-4260-9a4e-dcf3b63c2694-1].mp3
The Medicine Box - Leave a Message.mp3,3:33,3.40 MB,10-10-24,/Users/steven/Music/The Medicine Box - Leave a Message.mp3
ALPHA.mp3,3:51,7.12 MB,10-09-24,/Users/steven/Music/ALPHA.mp3
GTrivia.mp3,37:56,86.84 MB,10-09-24,/Users/steven/Music/GTrivia.mp3
Back-Alley-Dumpster-Fire.mp3,0:59,933.44 KB,10-09-24,/Users/steven/Music/Back-Alley-Dumpster-Fire.mp3
Showdown.mp3,3:23,6.29 MB,10-09-24,/Users/steven/Music/Showdown.mp3
witched Road.mp3,2:56,4.04 MB,10-09-24,/Users/steven/Music/suno/witched Road.mp3
Howling-Cat's-Song.mp3,2:36,3.59 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Howling-Cat's-Song.mp3
Blues-in-the-Moonlit-Nights.mp3,2:51,3.92 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Blues-in-the-Moonlit-Nights.mp3
Recycled-Symphony2.mp3,3:02,4.19 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Recycled-Symphony2.mp3
Moonly-Alley-(1).mp3,1:29,2.05 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Moonly-Alley-(1).mp3
Blues in the Alley Haunted Strings Nocturnal Notes.mp3,4:00,5.50 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Blues in the Alley Haunted Strings Nocturnal Notes.mp3
Heartbeats-in-the-Dark.mp3,4:00,5.50 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Heartbeats-in-the-Dark.mp3
"Love-is-Rubbish,-and-Rubbish-is-Love.mp3",2:44,3.76 MB,10-09-24,"/Users/steven/Music/suno/neon-punk-player/dist/mp3/Love-is-Rubbish,-and-Rubbish-is-Love.mp3"
Moonly-Alley4.mp3,1:25,1.97 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Moonly-Alley4.mp3
Marching-ever-forward-neath-the-wooded-s2.mp3,3:09,4.33 MB,10-09-24,/Users/steven/Music/suno/neon-punk-player/dist/mp3/Marching-ever-forward-neath-the-wooded-s2.mp3
