Filename,File Size,Creation Date,Original Path
Walter Russell - A New Concept Of The Universe.pdf,22.52 MB,05-15-24,/Volumes/Pics
sort2.py,2.25 KB,06-20-24,/Volumes/Pics
Terminal installer log.txt,143.63 KB,05-20-24,/Volumes/Pics
ChatGPT Widescreen Mode 🖥️-2024.6.17.user.js,65.48 KB,06-21-24,/Volumes/Pics/Trashy/covers
scancsv.py,983.00 B,06-21-24,/Volumes/Pics/Trashy/covers
README.md,512.00 B,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist
LICENSE.txt,1.20 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist
index.html,1.83 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/dist
index.html,1.22 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
script.js,10.62 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
style.css,11.04 KB,06-21-24,/Volumes/Pics/Trashy/covers/html5-audio-player-with-responsive-playlist/src
requirements.txt,62.00 B,06-21-24,/Volumes/Pics/Trashy/mine
ChatGPT Widescreen Mode 🖥️-2024.6.17.user.js,65.48 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers
scancsv.py,983.00 B,06-21-24,/Volumes/Pics/Trashy/mine/covers
Raccoon_Alley_Album_Art.html,160.27 MB,06-21-24,/Volumes/Pics/Trashy/mine/covers
Raccoon_Alley_Album_Art.md,160.13 MB,06-21-24,/Volumes/Pics/Trashy/mine/covers
README.md,512.00 B,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist
LICENSE.txt,1.20 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist
index.html,1.83 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/dist
index.html,1.22 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
script.js,10.62 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
style.css,11.04 KB,06-21-24,/Volumes/Pics/Trashy/mine/covers/html5-audio-player-with-responsive-playlist/src
2leomotion 2.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion 2 2.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
requirements.txt,45.00 B,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale-.py,1.10 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion 3.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
motion-upload.py,1.65 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale-dl.py,3.46 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale 3.py,1.10 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscaled_images_log.csv,1.98 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale.py,1.99 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale copy.py,1.99 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
leocsv.py,5.60 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale 2.py,1.79 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale 2 copy.py,1.79 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
motion-upload copy.py,1.65 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion 4.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
Detailed Descriptions for TrashCat Punk Images.md,5.87 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
2leomotion copy.py,3.03 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscale.sh,1.48 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
motion-upload 2.py,1.65 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
upscaled.py,5.37 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT
convert-loop2.py,5.14 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT/trashy-heartbreak
upscaled_images_log.csv,1.98 KB,06-21-24,/Volumes/Pics/Trashy/TrashCaT/trashy-heartbreak
