Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
"I Steal Hearts PNG, Valentines Day Png.png",3.28 MB,01-29-25,2250,2250,299.9994,299.9994,"/Users/steven/Pictures/etsy/I Steal Hearts PNG, Valentines Day Png.png"
Santa_Reality_Check-MtiINzMauE.png,5.27 MB,01-29-25,2250,2700,299.9994,299.9994,/Users/steven/Pictures/etsy/Santa_Reality_Check-MtiINzMauE.png
processed_Santa_Reality_Check-MtiINzMauE.png,9.00 MB,01-29-25,4500,5400,299.9994,299.9994,/Users/steven/Pictures/etsy/processed_Santa_Reality_Check-MtiINzMauE.png
Funny animal Quotes.png,3.07 MB,01-29-25,2250,2250,299.9994,299.9994,/Users/steven/Pictures/etsy/Funny animal Quotes.png
heart Red XOXO 01 copy.png,4.58 MB,01-29-25,2250,2700,299.9994,299.9994,/Users/steven/Pictures/etsy/heart Red XOXO 01 copy.png
13.png,3.83 MB,01-29-25,2250,2370,299.9994,299.9994,/Users/steven/Pictures/etsy/13.png
Love potion sublimation mug wrap_Монтажная область 1.png,149.91 KB,01-29-25,720,296,299.9994,299.9994,/Users/steven/Pictures/etsy/Love potion sublimation mug wrap_Монтажная область 1.png
Easter Typography Design (2)-11.jpg,886.59 KB,01-29-25,2048,2048,300,300,/Users/steven/Pictures/etsy/Easter Typography Design (2)-11.jpg
CupcakeCrusader_Quest.png,1.55 MB,01-29-25,2022,2700,299.9994,299.9994,/Users/steven/Pictures/etsy/CupcakeCrusader_Quest.png
Anti-Love-Struck-6-16-2024.png,78.44 KB,01-29-25,720,152,299.9994,299.9994,/Users/steven/Pictures/etsy/Anti-Love-Struck-6-16-2024.png
A01-Mulew-250913-ML-02.png,3.40 MB,01-29-25,2250,2250,299.9994,299.9994,/Users/steven/Pictures/etsy/A01-Mulew-250913-ML-02.png
DALL·E_2024-12-04_03.jpeg,85.11 KB,01-29-25,720,411,300,300,/Users/steven/Pictures/etsy/DALL·E_2024-12-04_03.jpeg
5.jpg,52.81 KB,01-29-25,720,480,300,300,/Users/steven/Pictures/etsy/5.jpg
heart Red 001.png,7.14 MB,01-29-25,2250,2250,299.9994,299.9994,/Users/steven/Pictures/etsy/heart Red 001.png
7.png,4.74 MB,01-29-25,2250,2240,299.9994,299.9994,/Users/steven/Pictures/etsy/7.png
3.png,5.56 MB,01-29-25,2247,2700,299.9994,299.9994,/Users/steven/Pictures/etsy/3.png
A05-Foxmia-260625-ML-10.png,202.45 KB,01-29-25,720,320,299.9994,299.9994,/Users/steven/Pictures/etsy/A05-Foxmia-260625-ML-10.png
