Filename,File Size,Creation Date,Original Path
compare_inventories.py,5.12 KB,10-14-25,/Volumes/DeVonDaTa
create_inventory.sh,3.06 KB,10-14-25,/Volumes/DeVonDaTa
resize-img.html,4.17 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups
scan_images_individual.html,1.86 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups
webpConvert.html,1.76 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups
re-size.html,3.07 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups
back-clean.sh,994.00 B,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups
xubuntu-24.04-desktop-amd64.iso.torrent,303.49 KB,05-31-25,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Downloads/Misc
export-20250506T064740Z-25.zip,1.38 GB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/Compressed
export-20250506T064740Z-26.zip,1.38 GB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/Compressed
export-20250506T064740Z-27.zip,109.25 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/Compressed
Glitch-Arts-Resources-master.zip,2.62 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/Compressed
hogwartsF2Cd.psd,14.64 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
tumbler3clear.psd,20.62 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
a-dark-mystical-forest-setting-with-towering-trees-cL-TYVZUSmiX-eU4kgKDTg-BpNgyqG0RjOtNmiREzr_PQ.psd,2.17 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
sunken trove.psd,123.84 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Mug_15oz.psd,1.25 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Untitled-3.psd,32.90 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Untitled-2.psd,11.30 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Art Board 1-1.25 Landscape Ratio Template.psd,5.75 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
avatarMorph.psd,529.61 KB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
SwampBomber.psd,574.20 KB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
iSoCompF.psd,5.04 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
newlifegiver.psd,154.76 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Elden HoLLow1.psd,20.10 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
best-teacher.psd,27.83 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Art Board 1-1 Square Ratio Template.psd,4.75 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
mug animated side view 1.psd,412.15 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
hierling.psd,22.61 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
goldroad.psd,35.26 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Khajiit_Town2.psd,42.16 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Art Board 1-1.5 Portrait Ratio Template 1.psd,897.54 KB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
newliferD.psd,271.55 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
palsguild.psd,15.83 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
mug animated side view.psd,412.15 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
cookiemonster (15).psd,45.92 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Ask.PSD,101.95 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Deadly Hexos-rough.psd,8.07 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
The Lava Queen.psd,5.10 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
psd.psd,39.65 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
allies.psd,9.26 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
dragon1.psd,11.80 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
dlands.psd,10.29 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
orc-smart.psd,116.57 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Dynus Aralas.psd,6.35 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
gryfyCXut.psd,1.25 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Sea Silver Chain2-1.psd,10.56 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
WRAP teacher lamiaa.psd,347.48 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
AnaCsn.psd,817.56 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Bangkorai_02.psd,81.15 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
newliferD (1).psd,187.28 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
mug animated mockup front view.psd,296.12 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
xmas3.psd,31.95 MB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
Cursor-Template.psd,62.27 KB,06-04-25,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop
