Filename,Duration,File Size,Creation Date,Original Path
violin-sorrow.mp4,0:59,3.89 MB,10-09-24,/Users/steven/Music/violin-sorrow.mp4
rain.mp4,3:26,7.67 MB,10-09-24,/Users/steven/Music/rain.mp4
journey through the desert.mp4,0:59,4.07 MB,10-09-24,/Users/steven/Music/journey through the desert.mp4
wasted years.mp4,1:59,5.49 MB,10-09-24,/Users/steven/Music/wasted years.mp4
eso-Dawnbreak.mp4,0:00,1.68 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso-Dawnbreak.mp4
"Unlock the full experience with the Orsinium, Thieves Guild, and Dark Brotherhood D L C's. Claim the Imperial City DLC, your free pass to the heart of-2 (1705678067283).mp4",0:12,55.30 MB,10-10-24,"/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/Unlock the full experience with the Orsinium, Thieves Guild, and Dark Brotherhood D L C's. Claim the Imperial City DLC, your free pass to the heart of-2 (1705678067283).mp4"
eso FLOW.mp4,0:00,3.17 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso FLOW.mp4
eso small purp cloud.mp4,0:00,1.17 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso small purp cloud.mp4
eso-morning.mp4.mp4,0:00,2.85 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso-morning.mp4.mp4
eso fighters guild.mp4,0:33,19.54 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso fighters guild.mp4
Guilds and Glory.mp4,1:02,6.76 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/Guilds and Glory.mp4
mystic world-Fighters.mp4,0:35,17.43 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/mystic world-Fighters.mp4
37e054bc-bbb1-4923-9aaf-3eaad609ff66.mp4,0:00,1.56 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/37e054bc-bbb1-4923-9aaf-3eaad609ff66.mp4
Untitled video (2).mp4,1:02,28.76 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/Untitled video (2).mp4
"Panoramic view of the Elder Scrolls Online cityscape, bustling with life and diversity., in the style of RPG, DnD, ESO-2 (1705678032740).mp4",0:00,20.00 MB,10-10-24,"/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/Panoramic view of the Elder Scrolls Online cityscape, bustling with life and diversity., in the style of RPG, DnD, ESO-2 (1705678032740).mp4"
wrothgar.mp4.mp4,0:00,1.87 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/wrothgar.mp4.mp4
Created from Canva app.mp4,0:33,16.47 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/Created from Canva app.mp4
e4033ba8-a69a-49b7-ae0a-5af51ca27122.mp4,0:00,3.62 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/e4033ba8-a69a-49b7-ae0a-5af51ca27122.mp4
mage-move.mp4,0:00,1.92 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/mage-move.mp4
eso purp clouds.mp4,0:00,1.37 MB,10-10-24,/Users/steven/Pictures/YThumbs/ESO-Glory/MP4/eso purp clouds.mp4
VHS Tape 02.mov,0:00,21.77 MB,10-05-24,/Users/steven/Movies/VHS Tape 02.mov
Mando-grogu-star-comp.mp4,1:51,63.13 MB,10-09-24,/Users/steven/Movies/Mando-grogu-star-comp.mp4
Cregan gro-Bregorf.mp4,0:00,736.74 KB,10-09-24,/Users/steven/Movies/Cregan gro-Bregorf.mp4
Memento Mori.mp4.mp4,0:00,4.33 MB,10-09-24,/Users/steven/Movies/Memento Mori.mp4.mp4
(3) The History Of Birth Control _ TIME - YouTube.mp4,3:12,28.38 MB,10-11-24,/Users/steven/Movies/(3) The History Of Birth Control _ TIME - YouTube.mp4
2410 1 intro.avi,Unknown,Unknown,10-08-24,/Users/steven/Movies/2410 1 intro.avi
FilthyMilkDrinker.mp4,0:00,1.81 MB,10-09-24,/Users/steven/Movies/FilthyMilkDrinker.mp4
Scratches.mov,0:00,1.85 MB,10-05-24,/Users/steven/Movies/Scratches.mov
CookieShort-BUY.mp4,0:20,9.42 MB,10-09-24,/Users/steven/Movies/CookieShort-BUY.mp4
37C6F40A-F081-4FC7-A032-ACB41737C801.mp4,2:52,35.79 MB,10-10-24,/Users/steven/Movies/37C6F40A-F081-4FC7-A032-ACB41737C801.mp4
Psybient Mix.avi,Unknown,Unknown,10-08-24,/Users/steven/Movies/Psybient Mix.avi
PiSorc4.mp4,0:00,2.10 MB,10-09-24,/Users/steven/Movies/PiSorc4.mp4
Icarus_ The Flight and Fall 2024-09-07.mp4,2:33,239.61 MB,10-09-24,/Users/steven/Movies/Icarus_ The Flight and Fall 2024-09-07.mp4
2025-3min.mp4,2:50,38.63 MB,10-10-24,/Users/steven/Movies/2025-3min.mp4
TheWayOForDeR.mp4,0:49,92.02 MB,10-11-24,/Users/steven/Movies/TheWayOForDeR.mp4
4064ea78-246b-44d6-abba-eadbe7f197ad.mp4,0:00,1.72 MB,10-09-24,/Users/steven/Movies/4064ea78-246b-44d6-abba-eadbe7f197ad.mp4
Cookie Monster Cookies GIF by Sesame Street - Find & Share on GIPHY.mp4,0:00,713.08 KB,10-09-24,/Users/steven/Movies/Cookie Monster Cookies GIF by Sesame Street - Find & Share on GIPHY.mp4
DontheCon ___ 45 to LiFe ___ 👀 🖖.mp4,0:09,2.66 MB,10-09-24,/Users/steven/Movies/DontheCon ___ 45 to LiFe ___ 👀 🖖.mp4
Murkier.mp4,0:00,2.15 MB,10-09-24,/Users/steven/Movies/Murkier.mp4
Recycled Symphony.mp4,3:02,20.21 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Recycled Symphony.mp4
Dumpster Brew.mp4,2:43,15.55 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Dumpster Brew.mp4
JunkYard Destiny.mp4,3:37,21.75 MB,10-09-24,/Users/steven/Movies/trashy/mp4/JunkYard Destiny.mp4
Junkyard Kings.mp4,4:00,18.01 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Junkyard Kings.mp4
Anti-Love Struck.mp4,2:18,132.80 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Anti-Love Struck.mp4
Cannon Blastin.mp4,2:45,111.62 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Cannon Blastin.mp4
Concrete Jungle Rumble.mp4,3:32,85.34 MB,10-09-24,/Users/steven/Movies/trashy/mp4/Concrete Jungle Rumble.mp4
