depth,file_count,folder_count,total_size_mb,top_extensions,top_categories
0,412,33,95.08148002624512,".py(143), .md(87), .txt(41), .csv(38), .html(20)","code(290), other(76), documentation(31), data(7), image(4)"
1,416,208,6.051870346069336,".py(276), (58), .md(23), .json(19), .js(8)","code(314), other(80), documentation(7), project(6), config(5)"
2,1098,126,77.21841716766357,".py(756), (76), .md(65), .json(35), .csv(29)","code(845), other(170), data(24), documentation(23), image(20)"
3,3814,126,272.0755090713501,".py(3088), .md(212), .json(187), .yml(66), (62)","code(3422), other(180), documentation(62), video(48), image(40)"
4,7415,83,96.50328826904297,".py(6999), (129), .json(50), .woff2(43), .md(34)","code(7023), other(283), data(36), documentation(23), project(20)"
5,158,85,0.2012157440185547,"(73), .md(19), .txt(12), .yml(8), .py(5)","other(119), code(19), data(6), documentation(5), config(4)"
6,139,83,1.3486051559448242,"(26), .txt(22), .sample(19), .yml(16), .json(15)","other(96), data(15), code(11), config(7), documentation(6)"
7,154,41,5.533926010131836,"(74), .txt(33), .idx(9), .pack(9), .pyi(8)","other(137), code(7), image(6), data(4)"
8,37,16,0.0332489013671875,"(27), .gif(2), .svg(2), .png(2), .txt(1)","other(31), image(6)"
9,26,1,0.04336738586425781,"(14), .txt(5), .gif(2), .svg(2), .png(2)","other(17), image(6), code(2), documentation(1)"
10,1,0,0.0001773834228515625,(1),other(1)
